object,field,label,type,referenceTo,nullable,formula,origin
copado__Project__c,Id,Record ID,id,,False,False,Salesforce
copado__Project__c,OwnerId,Owner ID,Lookup,Group;User,False,False,Salesforce
copado__Project__c,IsDeleted,Deleted,boolean,,False,False,Salesforce
copado__Project__c,Name,Project Name,string,,True,False,Salesforce
copado__Project__c,CreatedDate,Created Date,datetime,,False,False,Salesforce
copado__Project__c,CreatedById,Created By ID,Lookup,User,False,False,Salesforce
copado__Project__c,LastModifiedDate,Last Modified Date,datetime,,False,False,Salesforce
copado__Project__c,LastModifiedById,Last Modified By ID,Lookup,User,False,False,Salesforce
copado__Project__c,SystemModstamp,System Modstamp,datetime,,False,False,Salesforce
copado__Project__c,LastActivityDate,Last Activity Date,date,,True,False,Salesforce
copado__Project__c,LastViewedDate,Last Viewed Date,datetime,,True,False,Salesforce
copado__Project__c,LastReferencedDate,Last Referenced Date,datetime,,True,False,Salesforce
copado__Project__c,copado__Deployment_Flow__c,Pipeline,Lookup,copado__Deployment_Flow__c,True,False,Socle Copado
copado__Project__c,copado__Description__c,Description,textarea,,True,False,Socle Copado
copado__Project__c,copado__End_Date__c,End Date,date,,True,False,Socle Copado
copado__Project__c,copado__Exclude_Tabs_from_Promotion_Page__c,Exclude Tabs from Promotion Page,multipicklist,,True,False,Socle Copado
copado__Project__c,copado__Index_Metadata__c,Index Metadata,boolean,,False,False,Socle Copado
copado__Project__c,copado__Start_Date__c,Start Date,date,,True,False,Socle Copado
copado__Project__c,copado__Status__c,Status,picklist,,True,False,Socle Copado
copado__Project__c,copado__API_Name__c,API Name,string,,True,False,Socle Copado
copado__Release__c,Id,Record ID,id,,False,False,Salesforce
copado__Release__c,OwnerId,Owner ID,Lookup,Group;User,False,False,Salesforce
copado__Release__c,IsDeleted,Deleted,boolean,,False,False,Salesforce
copado__Release__c,Name,Release Name,string,,True,False,Salesforce
copado__Release__c,CreatedDate,Created Date,datetime,,False,False,Salesforce
copado__Release__c,CreatedById,Created By ID,Lookup,User,False,False,Salesforce
copado__Release__c,LastModifiedDate,Last Modified Date,datetime,,False,False,Salesforce
copado__Release__c,LastModifiedById,Last Modified By ID,Lookup,User,False,False,Salesforce
copado__Release__c,SystemModstamp,System Modstamp,datetime,,False,False,Salesforce
copado__Release__c,LastViewedDate,Last Viewed Date,datetime,,True,False,Salesforce
copado__Release__c,LastReferencedDate,Last Referenced Date,datetime,,True,False,Salesforce
copado__Release__c,copado__Base_Branch__c,Base Branch,string,,True,False,Socle Copado
copado__Release__c,copado__Description__c,Description,textarea,,True,False,Socle Copado
copado__Release__c,copado__Planned_Date__c,Planned Date,date,,True,False,Socle Copado
copado__Release__c,copado__Project__c,Project,Lookup,copado__Project__c,True,False,Socle Copado
copado__Release__c,copado__Status__c,Status,picklist,,True,False,Socle Copado
copado__Release__c,copado__Version__c,Version,string,,True,False,Socle Copado
copado__Release__c,copado__Completion_Date__c,Completion Date,datetime,,True,False,Socle Copado
copado__Release__c,copado__Parent_Release__c,Parent Release,Lookup,copado__Release__c,True,False,Socle Copado
copado__Release__c,copado__Status_Notes__c,Status Notes,textarea,,True,False,Socle Copado
copado__Release__c,copado__Testing_Completed__c,Testing Completed,datetime,,True,False,Socle Copado
copado__Release__c,copado__Type__c,Type,picklist,,True,False,Socle Copado
copado__Release__c,copado__Artifact_User_Story__c,Artifact User Story,Lookup,copado__User_Story__c,True,False,Socle Copado
copado__Release__c,copado__Base_Branch_Origin__c,Base Branch Origin,string,,True,False,Socle Copado
copado__Release__c,copado__Environment__c,Environment,Lookup,copado__Environment__c,True,False,Socle Copado
copado__User_Story__c,Id,Record ID,id,,False,False,Salesforce
copado__User_Story__c,OwnerId,Owner ID,Lookup,Group;User,False,False,Salesforce
copado__User_Story__c,IsDeleted,Deleted,boolean,,False,False,Salesforce
copado__User_Story__c,Name,User Story Reference,string,,False,False,Salesforce
copado__User_Story__c,RecordTypeId,Record Type ID,Lookup,RecordType,True,False,Salesforce
copado__User_Story__c,CreatedDate,Created Date,datetime,,False,False,Salesforce
copado__User_Story__c,CreatedById,Created By ID,Lookup,User,False,False,Salesforce
copado__User_Story__c,LastModifiedDate,Last Modified Date,datetime,,False,False,Salesforce
