child,field,parent,type,nullable,parentCardinality,childCardinality,relationshipName,childRelationshipName,cascadeDelete,restrictedDelete
copado__Project__c,copado__Deployment_Flow__c,copado__Deployment_Flow__c,Lookup,True,0..1,0..N,copado__Deployment_Flow__r,copado__Projects__r,False,False
copado__Release__c,copado__Project__c,copado__Project__c,Lookup,True,0..1,0..N,copado__Project__r,copado__Releases__r,False,False
copado__Release__c,copado__Parent_Release__c,copado__Release__c,Lookup,True,0..1,0..N,copado__Parent_Release__r,copado__Releases__r,False,False
copado__Release__c,copado__Artifact_User_Story__c,copado__User_Story__c,Lookup,True,0..1,0..N,copado__Artifact_User_Story__r,copado__Releases__r,False,False
copado__Release__c,copado__Environment__c,copado__Environment__c,Lookup,True,0..1,0..N,copado__Environment__r,copado__Releases__r,False,False
copado__User_Story__c,copado__Environment__c,copado__Environment__c,Lookup,True,0..1,0..N,copado__Environment__r,copado__User_Stories__r,False,False
copado__User_Story__c,copado__Epic__c,copado__Epic__c,Lookup,True,0..1,0..N,copado__Epic__r,copado__User_Stories__r,False,False
copado__User_Story__c,copado__Last_Validation_Deployment__c,copado__Deployment__c,Lookup,True,0..1,0..N,copado__Last_Validation_Deployment__r,copado__User_Stories__r,False,False
copado__User_Story__c,copado__Last_Validation_Promotion__c,copado__Promotion__c,Lookup,True,0..1,0..N,copado__Last_Validation_Promotion__r,copado__User_Stories__r,False,False
copado__User_Story__c,copado__Org_Credential__c,copado__Org__c,Lookup,True,0..1,0..N,copado__Org_Credential__r,copado__User_Stories__r,False,False
copado__User_Story__c,copado__Project__c,copado__Project__c,Lookup,True,0..1,0..N,copado__Project__r,copado__User_Stories__r,False,False
copado__User_Story__c,copado__Release__c,copado__Release__c,Lookup,True,0..1,0..N,copado__Release__r,copado__User_Stories__r,False,False
copado__User_Story__c,copado__Sprint__c,copado__Sprint__c,Lookup,True,0..1,0..N,copado__Sprint__r,copado__User_Stories__r,False,False
copado__User_Story__c,copado__Team__c,copado__Team__c,Lookup,True,0..1,0..N,copado__Team__r,copado__User_Stories__r,False,False
copado__Epic__c,copado__Release__c,copado__Release__c,Lookup,True,0..1,0..N,copado__Release__r,copado__Epics__r,False,False
copado__Sprint__c,copado__Project__c,copado__Project__c,Lookup,True,0..1,0..N,copado__Project__r,copado__Sprints__r,False,False
copado__Sprint__c,copado__Release__c,copado__Release__c,Lookup,True,0..1,0..N,copado__Release__r,copado__Sprints__r,False,False
copado__Sprint__c,copado__Team__c,copado__Team__c,Lookup,True,0..1,0..N,copado__Team__r,copado__Sprints__r,False,False
copado__User_Story_Task__c,copado__User_Story__c,copado__User_Story__c,Master-Detail,False,1,0..N,copado__User_Story__r,copado__User_Story_Tasks__r,True,False
copado__User_Story_Commit__c,copado__User_Story__c,copado__User_Story__c,Master-Detail,False,1,0..N,copado__User_Story__r,copado__User_Story_Commits__r,True,False
copado__User_Story_Commit__c,copado__Snapshot_Commit__c,copado__Git_Org_Commit__c,Master-Detail,False,1,0..N,copado__Snapshot_Commit__r,copado__User_Story_Commits__r,True,False
copado__User_Story_Metadata__c,copado__User_Story__c,copado__User_Story__c,Master-Detail,False,1,0..N,copado__User_Story__r,copado__User_Story_Metadata__r,True,False
copado__Git_Org_Commit__c,copado__Org__c,copado__Org__c,Master-Detail,False,1,0..N,copado__Org__r,copado__Git_Org_Commits__r,True,False
copado__Git_Org_Commit__c,copado__Git_Backup__c,copado__Git_Backup__c,Lookup,True,0..1,0..N,copado__Git_Backup__r,copado__Git_Org_Commits__r,False,False
copado__Git_Backup__c,copado__Git_Repository__c,copado__Git_Repository__c,Master-Detail,False,1,0..N,copado__Git_Repository__r,copado__Git_Backups__r,True,False
copado__Git_Backup__c,copado__Org__c,copado__Org__c,Master-Detail,False,1,0..N,copado__Org__r,copado__Git_Backups__r,True,False
copado__Git_Backup__c,copado__Pipeline__c,copado__Deployment_Flow__c,Lookup,True,0..1,0..N,copado__Pipeline__r,copado__Git_Snapshots__r,False,False
copado__Promotion__c,copado__Destination_Environment__c,copado__Environment__c,Lookup,True,0..1,0..N,copado__Destination_Environment__r,copado__Promotions1__r,False,False
copado__Promotion__c,copado__Destination_Org_Credential__c,copado__Org__c,Lookup,True,0..1,0..N,copado__Destination_Org_Credential__r,copado__Promotions2__r,False,False
copado__Promotion__c,copado__Project__c,copado__Project__c,Lookup,True,0..1,0..N,copado__Project__r,copado__Promotions__r,False,False
copado__Promotion__c,copado__Release__c,copado__Release__c,Lookup,True,0..1,0..N,copado__Release__r,copado__Promotions__r,False,False
copado__Promotion__c,copado__Source_Environment__c,copado__Environment__c,Lookup,True,0..1,0..N,copado__Source_Environment__r,copado__Promotions__r,False,True
copado__Promotion__c,copado__Source_Org_Credential__c,copado__Org__c,Lookup,True,0..1,0..N,copado__Source_Org_Credential__r,copado__Promotions1__r,False,False
copado__Promotion__c,copado__Pipeline__c,copado__Deployment_Flow__c,Lookup,True,0..1,0..N,copado__Pipeline__r,copado__Promotions__r,False,False
copado__Promoted_User_Story__c,copado__User_Story__c,copado__User_Story__c,Master-Detail,False,1,0..N,copado__User_Story__r,copado__Promoted_User_Stories__r,True,False
copado__Promoted_User_Story__c,copado__Promotion__c,copado__Promotion__c,Master-Detail,False,1,0..N,copado__Promotion__r,copado__Promoted_User_Stories__r,True,False
copado__Deployment__c,copado__From_Org__c,copado__Org__c,Lookup,True,0..1,0..N,copado__From_Org__r,copado__Deployments_From_Org__r,False,False
copado__Deployment__c,copado__Parent_Deployment__c,copado__Deployment__c,Lookup,True,0..1,0..N,copado__Parent_Deployment__r,copado__Deployments__r,False,False
copado__Deployment__c,copado__Promotion__c,copado__Promotion__c,Lookup,True,0..1,0..N,copado__Promotion__r,copado__Deployments__r,False,False
copado__Deployment__c,copado__Template__c,copado__Deployment__c,Lookup,True,0..1,0..N,copado__Template__r,copado__Templates__r,False,False
copado__Deployment__c,copado__Rolled_back_Deployment__c,copado__Deployment__c,Lookup,True,0..1,0..N,copado__Rolled_back_Deployment__r,copado__RolledBackDeployments__r,False,False
copado__Deployment_Flow__c,copado__CommitJobTemplate__c,copado__JobTemplate__c,Lookup,True,0..1,0..N,copado__CommitJobTemplate__r,copado__Pipelines2__r,False,False
copado__Deployment_Flow__c,copado__Deployment_Job_Template__c,copado__JobTemplate__c,Lookup,True,0..1,0..N,copado__Deployment_Job_Template__r,copado__Pipelines1__r,False,False
copado__Deployment_Flow__c,copado__Git_Repository__c,copado__Git_Repository__c,Lookup,True,0..1,0..N,copado__Git_Repository__r,copado__Deployment_Flows__r,False,False
copado__Deployment_Flow__c,copado__Promotion_Job_Template__c,copado__JobTemplate__c,Lookup,True,0..1,0..N,copado__Promotion_Job_Template__r,copado__Pipelines__r,False,False
copado__Deployment_Flow_Step__c,copado__Deployment_Flow__c,copado__Deployment_Flow__c,Master-Detail,False,1,0..N,copado__Deployment_Flow__r,copado__Deployment_Flow_Steps__r,True,False
